#id	 type	x	y	w	h		extra_settings per object type
# brick question 1 chứ item 	2 chứ pbutton 	3 chuwsnaams xanh	4 Fireflower				extra0	extra1
1	8	528	1056	48	48	0	0
2	8	576	1056	48	48	0	0

3	8	672	912	48	48	0	0
4	8	720	912	48	48	1	0

5	8	1248	960	48	48	0	0

6	8	1968	1152	48	48	1	0
7	8	2112	1056	48	48	0	0

8	8	4416	1104	48	48	1	0

# goomba								
9	2	672	1152	48	48	0	0
10	2	1584	1195	48	48	0	0	
11	2	2497	1147	48	48	0	0	
12	2	2640	1147	48	48	0	0
	
13	7	2832	1140	60	57	0	0	

# koopa							
14	11	1761	1048	48	78	1	100

15	11	3978	864	48	78	0	600
16	11	4092	864	48	78	0	600
17	11	4206	864	48	78	0	600

18	11	4416	1152	48	78	0	100

19	11	6288	1056	48	78	1	100

# fire flower
#20	14	1082	1152	48	96	1	0
#21	14	5590	1154	48	72	2	0
#22	15	5400	1174	48	72	0	0

# static coin							
23	4	3216	955	14	16	0	0
24	4	3312	859	14	16	0	0
25	4	3408	763	14	16	0	0
26	4	3504	667	14	16	0	0
27	4	3600	571	14	16	0	0
# static coin in the airrrr							
28	4	3984	240	14	16	0	0
29	4	4032	240	14	16	0	0
30	4	4080	240	14	16	0	0
31	4	4368	336	14	16	0	0
32	4	4416	336	14	16	0	0
33	4	4560	384	14	16	0	0
34	4	4608	384	14	16	0	0
35	4	4656	384	14	16	0	0
36	4	4704	384	14	16	0	0
37	4	4800	336	14	16	0	0
38	4	4848	336	14	16	0	0
39	4	4896	336	14	16	0	0
40	4	4944	336	14	16	0	0
41	4	5010	432	14	16	0	0
42	4	5106	336	14	16	0	0
43	4	5202	384	14	16	0	0
44	4	5346	288	14	16	0	0
45	4	5442	384	14	16	0	0
# static coin underground							
46	4	6606	1512	14	16	0	0
47	4	6606	1704	14	16	0	0
48	4	6654	1464	14	16	0	0
49	4	6654	1608	14	16	0	0
50	4	6654	1752	14	16	0	0
51	4	6702	1464	14	16	0	0
52	4	6702	1608	14	16	0	0
53	4	6702	1752	14	16	0	0
54	4	6750	1512	14	16	0	0
55	4	6750	1560	14	16	0	0
56	4	6750	1656	14	16	0	0
57	4	6750	1704	14	16	0	0

# bling bling brick							
#id loai	x	y	w	h	type_object	
#58	16	5856	1200	48	48	0	0
#59	16	5904	1200	48	48	0	0
#60	16	5952	1200	48	48	0	0
#61	16	6000	1200	48	48	0	0
#62	16	6048	1200	48	48	0	0
#63	16	6096	1200	48	48	0	0
#64	16	6144	1200	48	48	0	0

#65	16	5904	1152	48	48	0	0
#66	16	5952	1152	48	48	0	0
#67	16	6000	1152	48	48	0	0
#68	16	6048	1152	48	48	0	0
#69	16	6096	1152	48	48	0	0

#70	16	5952	1104	48	48	0	0
#71	16	6000	1104	48	48	0	0
#72	16	6048	1104	48	48	0	0
#Pbutton
#73	16	6096	1104	48	48	0	0

#74	16	6288	1200	48	48	0	0
#75	16	6336	1200	48	48	0	0

#76	16	6288	1152	48	48	0	0

#77	16	4320	384	48	48	0	0

# RANDOM BONUS							
78	18	8088	1029	48	48	0	0










