# id	left	top	right	bottom	texture_id
[SPRITES]
41001	303	99	312	114	20
41002	321	99	330	114	20
41003	338	99	347	114	20


################################################

# number					
//số 0123456789					
200000	33	32	41	39	111
200001	44	32	50	39	111
200002	53	32	61	39	111
200003	63	32	71	39	111
200004	73	32	81	39	111
200005	83	32	91	39	111
200006	93	32	101	39	111
200007	103	32	111	39	111
200008	113	32	121	39	111
200009	123	32	131	39	111
					
// chữ abcde					
200010	133	32	141	40	111
200011	143	32	151	40	111
200012	33	42	41	50	111
200013	43	42	51	50	111
200014	53	42	61	50	111
					
//chữ FGHIJK					
200015	63	42	71	50	111
200016	73	42	81	50	111
200017	83	42	91	50	111
200018	94	42	98	50	111
200019	103	42	111	50	111
200020	113	42	121	50	111
					
//chữ LMNOPQ					
200021	123	42	131	50	111
200022	133	42	141	50	111
200023	143	42	151	50	111
200024	33	52	41	60	111
200025	43	52	51	60	111
200026	53	52	61	60	111
					
//chữ RSTUV					
200027	63	52	71	60	111
200028	73	52	81	60	111
200029	83	52	91	60	111
200030	93	52	101	60	111
200031	103	52	111	60	111
					
//chữ WXYZ					
200032	113	52	121	60	111
200033	123	52	131	60	111
200034	133	52	141	60	111
200035	143	52	151	60	111
					
//chấm than					
200036	28	112	32	121	111
200037	153	42	161	50	111




# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== COIN XAU =====
11000	41001	300	41002	300	41003	300

