[SETTINGS]
start	2
width	320
height	240

#id	type	file
# type: 0: intro, 1: play scene 
[SCENES]
0	intro.txt
1	scene01.txt
2	scene02.txt
3	mapscene.txt

# id	file 
[TEXTURES]
-100	textures\bbox.png
0	textures\mario.png
10	textures\enemies.png
20	textures\misc.png

30	textures\mario(2).png
40	textures\fire_ball.png
50	textures\enemy.png
60	textures\hub.png
70	textures\effect_1.png
80	textures\enemy1.png
90	textures\transform_mario.png
100	textures\pipe1.png
101	textures\pipe2.png
102	textures\pipe3.png
103	textures\debris.png
104	textures\roulette.png
105	textures\MapSelection.png
106	textures\white_box.png
107	textures\MARIOPRO.png
108	textures\ENEMY2.png
109	textures\CONPHUNLUA.png
110	textures\power_state.png
111	textures\status_bar.png
112	textures\misc_1.png
113	textures\MARIO_TAIL_SPIN.png
114	textures\super_leaf.png
